,,1,2,3,4,5,6,7,8,9,10,11,Subtotal Task 1,2,3,4,5,6,8,9,10,12,13,Subtotal Task 2,2,3,4,5,6,8,9,10,12,13,Subtotal Task 3,3,4,5,6,8,9,10,12,13,Subtotal Task 4,3,4,5,6,8,9,10,12,13,Subtotal Task 5,3,4,5,6,8,9,10,12,13,Subtotal Task 6,3,4,5,6,8,9,10,12,13,Subtotal Task 7,Sum,Percentage
,,ASL1,,,,,,,,,,,,ASL2,,,,,,,,,,,ASL3,,,,,,,,,,,ASL4,,,,,,,,,,ASL5,,,,,,,,,,ASL6,,,,,,,,,,ASL7,,,,,,,,,,,
1.0 Variable: Incorrect attempt to use variable,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1 Object instantiation uses variable name; intends variable access,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
1.2 Use of non-static variable from static context,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
1.3 Use of variable from another class,,,,,,,,,,,,,0,,1,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,"0,08561643836"
1.4 Variable not declared,,,,,,,,,,,,,0,5,7,,,,,,,,,12,4,5,,,,,,,,,9,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,21,"1,797945205"
1.5 Wrong variable used,,,,3,,,,,,,,2,5,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,5,"0,4280821918"
1.6 Variable name written incorrectly,,,,,,,,,,,,,0,14,1,2,,,,,,,,17,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,17,"3,244274809"
1.7 Unspecified Incorrect attemt to use variable,,,,,,,,,,,,,0,,,,,,,,,,3,3,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,,,,,,,,,1,4,"0,3424657534"
2.0 Variable: Incorrect variable declaration,syntactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1 Local variable declaration with illegal modifier,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
2.2 Variable declaration: name and type in wrong order,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
2.3 Variable declaration: name missing,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
2.4 Variable declaration: variable name contains whitespace,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
2.5 Variable needs a unique name,,,2,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,3,"0,2568493151"
2.6 Unspecified Incorrect variable declaration,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
3.0 Method: Incorrect method call,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1 Method call attempted using variable name,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
3.2 Method call targeting wrong type,,,,,,,,,,,,,0,1,2,,,,,,,,1,4,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,4,"0,3424657534"
3.3 Method call: parameter doubles as declaration,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
3.4  Method call: parameter number mismatch,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
3.5 Method call: parameter type mismatch,,,,,,,,,,,,,0,,,,,,,,,1,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,"0,08561643836"
3.6 Method call: Parameter types included,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
3.7 Method name written incorrectly,,,1,,,,,,,,,,1,12,,1,,,,,,,,13,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,14,"1,198630137"
3.8 Missing parentheses for method call,,,,,,,,,,,,,0,2,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,2,"0,1712328767"
3.9 Use of non-static method from static context,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
3.10 Method not declared (Aufruf einer nicht implementierten Funktion),,,,,,,,,,,,,0,5,20,,,,,,,,,25,1,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,26,"2,226027397"
3.11 Method call: missing comma between parameters,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,
3.12 Unspecified incorrect method call,,,,,,,,,,,,,0,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,"0,08561643836"
4.0 Method: Incorrect method declaration,syntactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1 Method declaration: Missing comma in parameters,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
4.2 Method declaration: missing method body,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
4.3 Method declaration: missing return type,,,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,"0,08561643836"
4.4 Method declaration: no type specified for parameter,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
4.5 Method declaration: return type should be void,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
4.6 Method declaration: Semicolon at end of method header,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
4.7 Method declaration: semicolon in place of comma,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
4.8 Method declaration: Wrong number of parameters,,,,,,,,,4,,,,4,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,4,"0,3424657534"
4.9 Method duplicated exactly,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
4.10 Missing opening curly brace after method header,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
4.11 Wrong return type declared,,,,,,,,,,,,,0,4,10,1,,,,,,,,15,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,15,"1,284246575"
4.12 Unspecified incorrext method declaration,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
5.0 Constructor: Incorrect constructor call,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Constructor call attempted using variable name,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
5.2 Constructor call to non-existent copy constructor,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
5.3 Constructor call without using “new”,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
5.4 Constructor parameter number mismatch,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
5.5 Constructor parameter type mismatch,,,,,,,,,,,,,0,,4,,,,,,,,,4,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,4,"0,3424657534"
5.6 Missing closing parenthesis in constructor call,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
5.7 Missing parentheses for constructor call,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
5.8 Missing space after “new”,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
5.9 Object instantiation uses variable name,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
5.10 Unspecified incorrect constructor call,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
6.0 Constructor: Incorrect constructor declaration,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1 Call to “super” in constructor not first statement,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
6.2 Constructor is declared to return “void”,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
6.3 Unspecified incorrect constructor,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
7.0 Incorrect/attempted use of class or type,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1 Class from other package used without “import”,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
7.2 Class not defined,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
7.3 Class or type name written incorrectly,,,,,,,,,,,,,0,6,2,,,,,,,,,8,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,8,"0,6849315068"
7.4 Use of variable in context requiring a type,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
7.5 Interface and Inheritance Implementation Errors,,,,,,,,,,,,,0,5,,,4,,,,,,,9,,,,,,,,,,,0,,2,,2,,,,,1,5,,,2,,,,,,1,3,,,,,,,,,,0,,,,,,,,,,0,17,"1,455479452"
7.5.1 Incorrect use of the @Override annotation,,,,,,,,,,,,,0,2,,,5,,,1,,,3,11,,,,,,,,,,1,1,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,12,"1,02739726"
7.5.2 Class is passed instead of an Interface,,,,,,,,,,,,,0,,13,,,,,,,,,13,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,13,"1,113013699"
7.5.3 Return value of an inherited function was changed,,,,,,,,,,,,,0,,,4,3,,,,1,,1,9,,,1,,,,,,,,1,,,,,,,,,,0,,,,1,,,,,4,5,,,,,,,,,,0,,1,,,1,,,,,2,17,"1,455479452"
7.6 Unspecified incorrect/ attempt use of class or type,,,,,,,,,,,,,0,2,16,,,,,,,,,18,4,,,,,,,,,,4,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,22,"1,883561644"
8.0 Semantic error,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1 Assignment to a collection element,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
8.2 Class does not implement required method,,,2,,1,,,,,,,,3,,,1,,,,,,,,1,7,,,,,,,,,,7,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,11,"0,9417808219"
8.3 Class should be declared to implement interface,,,,,,,,,,,,,0,,,5,,1,,,,,,6,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,1,,,,,,,,1,,1,,,,,,,,1,8,"0,6849315068"
8.4 Missing “return” statement,,,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,1,1,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,2,"0,1712328767"
8.5 Type error,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
8.5.1 Array used in place of array element,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
8.5.2 Collection used in place of element,,,,,,,,,,,,,0,,6,,,,,,,,,6,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,6,"0,5136986301"
8.5.3 Invalid typecast,,,,,,,,,,,,,0,,,,,,,,2,2,,4,,,,,,,,,1,,1,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,5,"0,4280821918"
8.5.4 Type mismatch in assignment,,,,,,,,,,,,,0,2,5,,,,,,,,,7,,,,,,,1,,,,1,,,,,,,2,,,2,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,10,"0,8561643836"
8.5.5 Type mismatch: arithmetic performed on String; use length,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
8.5.6 Value from raw collection must be cast,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
8.6 Unhandled exception,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
8.7 Variable access used as statement,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
"8.8 When comparing two strings, “==” or “!=” is used instead of equals.",,6,,9,,,,,,,,3,18,1,9,,,,,,1,1,,12,,3,,,,,,,4,,7,,,,,,,,,,0,,,,,,,,1,,1,,,,,,,,,,0,2,,,,,,,,,2,40,"3,424657534"
8.9 Insufficient handling of special cases,,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,1,,1,,2,,,,,,,,,,0,4,"0,3424657534"
8.9.1 Failure to catch negative index values,,1,,,,4,1,,1,,,1,8,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,8,"0,6849315068"
8.10 Incorrect use of indexes,,,,2,,24,,,16,,7,14,63,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,63,"5,393835616"
8.11 Unspecified semantic error,,,3,,1,,1,,1,,2,3,11,4,8,5,1,1,,1,6,2,1,29,,2,3,,,2,2,,4,1,14,,,,2,,,1,,,3,,,,,,,,,,0,,,1,,,,,,,1,,,,1,,,1,,,2,60,"5,136986301"
9.0 Simple syntactical error,syntactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1 = used in place of ==,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
9.2 : in place of ;,,,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,"0,08561643836"
9.3 ; missing,,,1,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,2,"0,1712328767"
9.4 Comment incorrectly written,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
9.5 Extra closing parenthesis,,,,,,,,,,,,,0,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,"0,08561643836"
9.6 Extra opening curly brace {,,,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,"0,08561643836"
9.7 Extraneous ( between else and if,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
9.8 Extraneous closing curly brace,,,2,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,2,"0,1712328767"
9.9 Extraneous or misplaced ),,,,,,,,,,,,,0,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,"0,08561643836"
9.10 Keyword written incorrectly,,,2,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,2,"0,1712328767"
9.11 Mismatched parentheses in or around expression,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
9.12 Missing . between names in qualified name,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
9.13 Missing closing curly brace,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
9.13.1 Missing closing curly brace after control statement body,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,2,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,2,"0,1712328767"
9.13.2 Missing closing curly brace at end of class,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
9.13.3 Missing closing curly brace at end of method,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
9.14 Missing operator between expression elements,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,0
9.15 Missing closing parenthesis,,,,,,,,,,,,,0,2,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,2,"0,1712328767"
9.16 Missing opening or closing curly brace,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,2,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,2,"0,1712328767"
9.17 Unspecified Simple syntactical error,,,,,,,,,,,,,0,7,,,,,,,,,,7,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,,,,,,,,,1,,,,,,,,,,0,8,"0,6849315068"
10.0 Statement outside method/block,syntactic,,1,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,2,"0,1712328767"
11.0 Uncategorized,,,,,,,,1,,,,,1,4,,,,,,,,,,4,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,5,"0,4280821918"
12.0 Logical Errors,logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.1 Logical Errors in Working with Classes,,,,,,,,,,,,,0,1,,1,,1,,1,1,,,5,,,,,,,,2,40,,42,,,,1,,,4,,,5,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,52,"4,452054795"
12.2 Logical Errors in Working with Graphs,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,2,1,,1,,,3,1,3,11,,,,1,,,,,,1,12,"1,02739726"
12.2.1 Logical Errors in Working with a Binary Tree,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,4,,3,1,,,1,1,1,11,,,,,,,,,,0,,,,,,,,,,0,11,"0,9417808219"
12.3 Logical Errors in Working with Custom Implemented Linked Lists,,,,,,,,,,,,,0,,,,,,,,,,,0,,3,3,5,2,1,2,9,11,5,41,4,7,3,2,,1,3,3,,23,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,64,"5,479452055"
12.4 Incomplete Logic in a Function,,,,,,,,,,,,,0,,,3,3,,,,,,5,11,,,,,,,2,2,3,3,10,1,1,3,1,,1,1,3,3,14,,,1,,,,,,1,2,,,,,,,,,,0,,3,2,2,,,3,,2,12,49,"9,351145038"
12.5 Logical Errors in Working with a Queue or a Stack,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,1,,,,,,1,,,2,,,,,,,,,,0,,,,,,,,,,0,2,"0,3816793893"
12.6 Unspecified logical error,,,,,,,,,,,,,0,9,6,2,2,2,,,1,4,3,29,,7,,,,,2,,3,,12,1,,2,,1,,3,,2,9,,,2,,1,1,2,1,,7,,,1,,,,,,,1,,1,1,,,,,,,2,60,"5,136986301"
Sum of errors,,7,18,14,2,28,2,2,22,0,9,23,127,95,110,25,18,5,0,3,12,10,17,295,16,20,7,5,2,3,9,13,66,11,152,10,10,8,8,1,2,14,6,6,65,5,0,8,2,1,1,4,3,7,31,3,2,2,1,0,1,3,2,3,17,3,6,3,4,1,0,4,0,2,23,524,"46,65180906"